Genre,Famille,Ordre,Classe,Règne,Groupe_Grand_Public,CD_REF,Nom scientifique,CD_NOM
Iberochloe,Pieridae,Lepidoptera,Insecta,Animalia,Insectes et araignees,609941,"Euchloe tagis (Hubner, 1804)",54437
Euchorthippus,Acrididae,Orthoptera,Insecta,Animalia,Insectes et araignees,66174,"Euchorthippus chopardi Descamps, 1968",66174
Euchorthippus,Acrididae,Orthoptera,Insecta,Animalia,Insectes et araignees,66173,"Euchorthippus declivus (Brisout de Barneville, 1848)",66173
Euchorthippus,Acrididae,Orthoptera,Insecta,Animalia,Insectes et araignees,240287,"Euchorthippus elegantulus Zeuner, 1940",240287
Euchorthippus,Acrididae,Orthoptera,Insecta,Animalia,Insectes et araignees,0,"Euchorthippus Tarbinsky, 1925",0
Eugryllodes,Gryllidae,Orthoptera,Insecta,Animalia,Insectes et araignees,65928,"Eugryllodes pipiens (Dufour, 1820)",65928
Eumodicogryllus,Gryllidae,Orthoptera,Insecta,Animalia,Insectes et araignees,227817,"Eumodicogryllus bordigalensis (Latreille, 1804)",227817
Eupholidoptera,Tettigoniidae,Orthoptera,Insecta,Animalia,Insectes et araignees,65745,"Eupholidoptera chabrieri chabrieri (Charpentier, 1825)",65745
Eupholidoptera,Tettigoniidae,Orthoptera,Insecta,Animalia,Insectes et araignees,65743,"Eupholidoptera chabrieri (Charpentier, 1825)",65743
Eupholidoptera,Tettigoniidae,Orthoptera,Insecta,Animalia,Insectes et araignees,837841,"Eupholidoptera tyrrhenica Allegrucci, Massa, Trasatti & Sbordoni, 2014",837841
Euphydryas,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,53868,"Euphydryas aurinia aurinia (Rottemburg, 1775)",53868
Euphydryas,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,53865,"Euphydryas aurinia (Rottemburg, 1775)",53865
Euphydryas,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,53859,"Euphydryas cynthia (Denis & Schiffermuller, 1775)",53859
Euphydryas,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,53874,"Euphydryas desfontainii (Godart, 1819)",53874
Euphydryas,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,53851,"Euphydryas intermedia (Menetries, 1859)",53851
Euphydryas,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,53856,"Euphydryas maturna (Linnaeus, 1758)",53856
Euthystira,Acrididae,Orthoptera,Insecta,Animalia,Insectes et araignees,65496,"Euthystira brachyptera (Ocskay, 1826)",65496
Eyprepocnemis,Acrididae,Orthoptera,Insecta,Animalia,Insectes et araignees,66265,"Eyprepocnemis plorans (Charpentier, 1825)",66265
Gampsocleis,Tettigoniidae,Orthoptera,Insecta,Animalia,Insectes et araignees,65771,"Gampsocleis glabra (Herbst, 1786)",65771
